,District,Building name,Last date of residence of the case(s),Related probable/confirmed cases
155,Kowloon City,"Block 1, Willow Mansions, Phase 3, Whampoa Garden",,4109
156,Kowloon City,"Block 1, Willow Mansions, Phase 3, Whampoa Garden",,4110
157,Kwai Tsing,"Ching Mui House, Cheung Ching Estate",,4111
158,Yuen Long,"Yat Long House, Tin Yat Estate",,4112
159,Yuen Long,Yau Pok Road,,4113
160,Sham Shui Po,"Block A, Hung Yu Mansion",,4115
161,Central & Western,Kin On Commercial Building,,4116
162,Yau Tsim Mong,Po Hing Building,,4117
163,Central & Western,Kin On Commercial Building,,4118
164,Islands,"Kam Ho Court, Treasure Bay",,4119
165,Sham Shui Po,"Mei Ying House, Shek Kip Mei Estate",,4121
166,Sham Shui Po,"Block A, Hung Yu Mansion",,4122
167,Sai Kung,"Block C, Sai Kung Town Centre",,4123
168,Sha Tin,"Chung Wo House, Chung On Estate",,4124
169,Wong Tai Sin,"Kam Hon House, Choi Hung Estate",,4126
170,Wong Tai Sin,"Kam Hon House, Choi Hung Estate",,4127
171,Central & Western,Kin On Commercial Building,,4128
172,Wong Tai Sin,"Kam Hon House, Choi Hung Estate",,4129
173,Sai Kung,"Tsui Ming House, Chung Ming Court",,4130
174,Wong Tai Sin,"Kam Hon House, Choi Hung Estate",,4131
175,Tai Po,"Hang Wo House, Tai Wo Estate",,4132
176,Yuen Long,"Block 6, Parkside Villa",,4134
177,Yuen Long,"Tower 3, The Parcville",,4135
178,Tuen Mun,"Oi Tai House, Fu Tai Estate",,4136
179,Eastern,"Sui Tai House, Siu Sai Wan Estate",,4137
180,Kwai Tsing,"Wang Sum House, Cheung Wang Estate",,4138
181,Tuen Mun,"Block 9, Sun Tuen Mun Centre",,4140
182,Yau Tsim Mong,Hing Wah Building,,4141
183,Sham Shui Po,"Cheung Tai House, Cheung Sha Wan Estate",,4142
184,North,"Block 2, Tsui Lai Garden",,4143
185,Kwun Tong,"Choi Yan House, Choi Tak Estate",,4144
186,Yuen Long,"Yan Fuk House, Tin Yan Estate",,4145
187,Tuen Mun,"Block 8, Po Tin Estate",,4147
188,Kwun Tong,"Low Block, Tsui Nam House, Tsui Ping (North) Estate",,4148
189,Central & Western,Tung Hing Mansion,,4149
190,Sham Shui Po,"Block A, Hung Yu Mansion",,4150
191,Sham Shui Po,"Block A, Hung Yu Mansion",,4151
192,Kwai Tsing,"Hong Tai House, Cheung Hong Estate",,4152
193,Wong Tai Sin,"Kam Pik House, Choi Hung Estate",,4154
194,Wong Tai Sin,"Lok Cheung House, Tsz Lok Estate",,4155
195,Tuen Mun,"Wu Boon House, Wu King Estate",,4156
196,Yau Tsim Mong,Lai Shing Building,,4157
197,Kwun Tong,"Ping Shun House, Ping Tin Estate",,4158
198,Yau Tsim Mong,Chung Kin Building,,4159
199,Kwai Tsing,"Nga Kwai House, Kwai Chung Estate",,4160
200,Yau Tsim Mong,"Tower 1B, MacPherson Place",,4161
201,Sham Shui Po,"Lai Sum House, Lai Tsui Court",,4162
202,Kwun Tong,"Ping Chun House, Ping Tin Estate",,4163
203,Kowloon City,"Block 1, Palm Mansions, Phase 4, Whampoa Garden",,4164
204,Kowloon City,"Hung Fai House, Hung Hom Estate",,4165
205,Yau Tsim Mong,"Phase 1, Tsui Yuen Mansion",,4166
206,Tuen Mun,"Block 8, Po Tin Estate",,4168
207,North,"Choi Ngan House, Choi Po Court",,4169
208,Yau Tsim Mong,Yau Shing Mansion,,4170
209,Yuen Long,"Chung Kam House, Tin Chun Court",,4171
210,Yuen Long,Wong Uk Tsuen,,4172
211,Tsuen Wan,"Shek Lin House, Shek Wai Kok Estate",,4173
212,Kowloon City,"Block A, Loong King Mansion",,4174
213,Kwai Tsing,"Fu Wing House, Tai Wo Hau Estate",,4175
214,Sha Tin,"Block 38, City One Shatin",,4176
215,Yuen Long,"Shing Yuk House, Tin Shing Court",,4177
216,Kwai Tsing,"Block 5, Wonderland Villas",,4178
217,Kwun Tong,"Kai Shing House, Kai Yip Estate",,4179
218,Southern,"Fu Ming Yuen, Chi Fu Fa Yuen",,4180
219,Yuen Long,"Hung Foon House, Hung Fuk Estate",,4181
220,Wong Tai Sin,"Block 2, Rhythm Garden",,4183
221,Tuen Mun,"King Fu House, Shan King Estate",,4184
222,Yau Tsim Mong,Shiu Fung Mansion,,4185
223,Kwun Tong,"Hiu Yat House , Hiu Lai Court",,4186
224,Kowloon City,"Lok Fung Lau, Lok Man Sun Chuen",,4187
225,Kowloon City,"Sik Man House, Ho Man Tin Estate",,4188
226,Sai Kung,"Block 4, Beverly Garden",,4189
227,Kwun Tong,"Kai Shing House, Kai Yip Estate",,4190
228,Kwun Tong,"Ping Chun House, Ping Tin Estate",,4191
229,Tuen Mun,"Block 3, Lung Mun Oasis",,4192
230,Kowloon City,"Block C, Grandview Garden",,4193
231,Yuen Long,"Fung Ping House, Long Ping Estate",,4194
232,Sha Tin,"Tower 3, Phase 1, Festival City",,4195
233,Sha Tin,Courtyard By Marriott Hong Kong Sha Tin,,4195
234,Yuen Long,"Full Comfort Court, 426 Yuen Kong",,4196
235,Yuen Long,"Full Comfort Court, 426 Yuen Kong",,4197
236,Wong Tai Sin,"Pak Yuen House, Chuk Yuen (North) Estate",,4198
237,Sai Kung,Tai Wan Village,,4199
238,Kwun Tong,"Ping Chun House, Ping Tin Estate",,4200
239,Sai Kung,"Sheung Ming House , Sheung Tak Estate",,4201
240,Kwun Tong,"Ching Tat House, On Tat Estate",,4202
241,Kwun Tong,"Tat Fu House, Po Tat Estate",,4203
242,Tuen Mun,"Block 1, Po Tin Estate",,4204
243,Yuen Long,"Hung Yuet House, Hung Fuk Estate",,4205
244,Yuen Long,"Shing Yuk House, Tin Shing Court",,4206
245,Yuen Long,"Shing Yuk House, Tin Shing Court",,4207
246,Yuen Long,On Wing Building,,4208
247,Yuen Long,Shung Ching San Tsuen,,4209
248,North,"Choi Ngan House, Choi Po Court",,4210
249,North,"Block 2, Tsui Lai Garden",,4211
250,Yuen Long,Ma Tin Tsuen,,4212
251,Eastern,"May Wah House, Hing Wah (I) Estate",,4213
252,Eastern,Wah Shing Mansion,,4214
253,Wong Tai Sin,"Ching Hong House, Tsz Ching Estate",,4215
254,Kwai Tsing,"Fu Wing House, Tai Wo Hau Estate",,4216
255,Tsuen Wan,"Lok Shan House, Cheung Shan Estate",,4217
256,Tsuen Wan,"Block A, Shek To House, Shek Wai Kok Estate",,4218
257,Wong Tai Sin,"Man Tai House, Tsz Man Estate",,4219
258,Kwai Tsing,"Fu Wing House, Tai Wo Hau Estate",,4220
259,Kwai Tsing,"Ting Fung House, Ning Fung Court",,4221
260,North,Ho Sheung Heung,,4222
261,North,"Block 7, Flora Plaza",,4223
262,Wong Tai Sin,Pang Ching Court,,4223
263,North,"Yin King House, King Shing Court",,4224
264,Kwai Tsing,"Fu Wing House, Tai Wo Hau Estate",,4225
265,Sham Shui Po,"Begonia House, So Uk Estate",,4226
266,Eastern,"May Wah House, Hing Wah (I) Estate",,4227
267,Eastern,"May Wah House, Hing Wah (I) Estate",,4228
268,Eastern,"May Wah House, Hing Wah (I) Estate",,4230
269,Sham Shui Po,Fat Tseung Building,,4231
270,Islands,"Ying Chui House, Ying Tung Estate",,4231
271,Kowloon City,Downtown 38,,4232
272,Kowloon City,67 Sa Po Road,,4233
273,Sai Kung,Tseng Tau Tsuen,,4234
274,Sham Shui Po,Beverly Court,,4235
275,Yuen Long,"Hung Long House, Hung Fuk Estate",,4236
276,Yuen Long,"Hung Long House, Hung Fuk Estate",,4237
277,Yuen Long,"Yat Hoi House, Tin Yat Estate",,4238
278,Tuen Mun,"Kin Tai House, Fu Tai Estate",,4239
279,Central & Western,Garfield Mansion,,4240
280,Kwai Tsing,"Kwai Hei House, Kwai Fong Estate",,4241
281,Tuen Mun,"Tin Lok House, Tin King Estate",,4242
282,Kowloon City,"Block 14, Cherry Mansions, Phase 2, Whampoa Garden",,4243
283,Kwun Tong,"Lam Shek House, Ping Shek Estate",,4244
284,North,"Block 7, Flora Plaza",,4245
285,Kwai Tsing,"Yee Yip House, Tsing Yi Estate",,4247
286,Tsuen Wan,Heung Wo Street,,4248
287,Tsuen Wan,Heung Wo Street,,4249
288,Sham Shui Po,"Block B, Merlin Centre",,4250
289,Tsuen Wan,"Block B, Shek To House, Shek Wai Kok Estate",,4251
290,Yuen Long,"Yan Fuk House, Tin Yan Estate",,4252
291,Sha Tin,Ha Wo Che,,4255
292,Sham Shui Po,"Phase 6, Mei Foo Sun Chuen",,4256
293,Sham Shui Po,"Phase 6, Mei Foo Sun Chuen",,4257
294,Kowloon City,"Sik Man House, Ho Man Tin Estate",,4258
295,Tuen Mun,"Block 8, Po Tin Estate",,4259
296,Sham Shui Po,135 Fuk Wa Street,,4260
297,Yau Tsim Mong,Paradise Square,,4261
298,Tai Po,"Tsui Wo House, Tai Wo Estate",,4262
299,Sham Shui Po,"Block A, Hung Yu Mansion",,4263
300,Yau Tsim Mong,Hung Hay Building,,4264
301,Yuen Long,Shung Ching San Tsuen,,4265
302,Kowloon City,Summit View Kowloon,,4266
303,Sha Tin,"Block 4, Man Lai Court",,4267
304,Sha Tin,"Kam Lan House, Kam Fung Court",,4267
305,Sha Tin,"Estoril Heights, Belair Gardens",,4268
306,Sai Kung,"Tower 7, Alto Residences",,4269
307,Yuen Long,"Lychee Road East, Fairview Park",,4270
308,Kwun Tong,Yen Ning Building,,4271
309,Tuen Mun,"Block 3, Lung Mun Oasis",,4272
310,Eastern,Tai On Building,,4273
311,Sham Shui Po,Fat Tseung Building,,4275
312,Islands,"Ying Chui House, Ying Tung Estate",,4275
313,Sham Shui Po,"Begonia House, So Uk Estate",,4276
314,Tsuen Wan,"Tower 7, Bellagio",,4277
315,Sham Shui Po,"Kam Fai Building, Yee Kuk Street",,4278
316,Southern,"Wah Mei House, Wah Fu (I) Estate",,4279
317,Sham Shui Po,Beverly Court,,4280
318,Kowloon City,"Kin Man House, Oi Man Estate",,4281
319,Kwai Tsing,"Tower 1, The Apex",,4282
320,Eastern,Island Lodge,,4283
321,Yau Tsim Mong,Fortune Court,,4284
322,Central & Western,Tung Hing Mansion,,4285
323,Tuen Mun,"Tin Yue House, Tin King Estate",,4286
324,Kowloon City,"Block 1, Palm Mansions, Phase 4, Whampoa Garden",,4287
325,Yuen Long,"Yuet Wing House, Tin Yuet Estate",,4288
326,Kwun Tong,"Tsui Ying House, Tsui Ping (South) Estate",,4289
327,Wong Tai Sin,Manning Theatre Building,,4290
328,Sham Shui Po,"Gladiolus House, So Uk Estate",,4291
329,Kowloon City,Lok Ka House,,4292
