,District,Building name,Last date of residence of the case(s),Related probable/confirmed cases
62,Tuen Mun,"Leung Yin House, Leung King Estate",,4005
63,Tuen Mun,"Oi Fai House, Yau Oi Estate",,4006
64,Tuen Mun,"Oi Fai House, Yau Oi Estate",,4007
65,Yau Tsim Mong,Best Western Grand Hotel,,4008
66,Eastern,"Lok Hing House, Hing Wah (II) Estate",,4009
67,Sha Tin,"Mei Chuen House, Mei Tin Estate",,4010
68,Sha Tin,"Mei Shek House, Shek Mun Estate",,4011
69,Yuen Long,Fung Chi Tsuen,,4012
70,Sha Tin,"Kam Kei House, Kam Tai Court",,4013
71,North,"Block 7, Flora Plaza",,4021
72,Tsuen Wan,The Blue Yard,,4022
73,Tsuen Wan,The Blue Yard,,4023
74,Tsuen Wan,74 Heung Wo Street,,4024
75,Sai Kung,"Choi Fu House, Choi Ming Court",,4026
76,North,"Ching Yun House, Ching Ho Estate",,4027
77,Sham Shui Po,135 Fuk Wa Street,,4028
78,Sham Shui Po,135 Fuk Wa Street,,4029
79,Kowloon City,"Sik Man House, Ho Man Tin Estate",,4030
80,Sha Tin,"Mei Chuen House, Mei Tin Estate",,4031
81,Yau Tsim Mong,Metropark Hotel Mongkok,,4032
82,Yuen Long,Yau Pok Road,,4033
83,Yuen Long,Tai Kei Leng,,4034
84,Yuen Long,Yau Pok Road,,4035
85,Kowloon City,"Block B, Loong King Mansion",,4036
86,Kwai Tsing,"Ting Fung House, Ning Fung Court",,4037
87,Kowloon City,"Hong Ching House, Kai Ching Estate",,4038
88,Sai Kung,"Yan Kuk House, Yan Ming Court",,4039
89,Sai Kung,"Sheung Lai House, Sheung Tak Estate",,4040
90,Sham Shui Po,85A Fuk Wing Street,,4041
91,Eastern,"Ying Tao House, Tung Tao Court",,4042
92,Kwai Tsing,"Wah Yan House, Ching Wah Court",,4043
93,Eastern,"Ying Tao House, Tung Tao Court",,4044
94,Sham Shui Po,"Tsui Tin House, Pak Tin Estate",,4045
95,Kowloon City,"Sik Man House, Ho Man Tin Estate",,4046
96,Yau Tsim Mong,"Phase 2, Tsui Yuen Mansion",,4047
97,Kowloon City,"King Wing Building, Whampoa Estate",,4048
98,Kowloon City,"Kiu Wai Mansion, 6 Shun Yung Street",,4049
99,Yuen Long,Pok Wai Tsuen,,4050
100,Tai Po,"Hang Wo House, Tai Wo Estate",,4051
101,Tsuen Wan,"Block B, Shek To House, Shek Wai Kok Estate",,4052
102,Islands,Shui Hau Village,,4053
103,Wong Tai Sin,"Pak Hung House, Choi Wan (I) Estate",,4054
104,Kwun Tong,"Block 3, Yue Man Centre",,4055
105,Yuen Long,"Block 1, Ho Shun King Building",,4056
106,Yuen Long,Yau Pok Road,,4056
107,Yuen Long,Tai Kong Po,,4057
108,Yuen Long,Yau Pok Road,,4058
109,Yuen Long,"Tsz Yan House, Tin Tsz Estate",,4059
110,Yuen Long,"Heng Kin House, Tin Heng Estate",,4060
111,Kwun Tong,"Sheung Shing House, Upper Ngau Tau Kok Estate",,4062
112,Yuen Long,"Chak Fai House, Tin Chak Estate",,4063
113,North,"Tin Cheung House, Tin Ping Estate",,4064
114,Kwun Tong,"Kai Shing House, Kai Yip Estate",,4065
115,Kwai Tsing,"Ching Mui House, Cheung Ching Estate",,4066
116,Kowloon City,"Hung Fai House, Hung Hom Estate",,4068
117,Kowloon City,"Block G, Wei King Building",,4069
118,Sha Tin,"Wing Shui House, Lek Yuen Estate",,4070
119,Wong Tai Sin,"Tower 8, The Latitude",,4071
120,Kwun Tong,"Kai Shing House, Kai Yip Estate",,4072
121,Yau Tsim Mong,iclub Mong Kok Hotel,,4073
122,Sai Kung,"Tower 1B, Wings At Sea, LOHAS Park",,4074
123,Yuen Long,On Wing Building,,4075
124,Kwun Tong,"Block 6, Shun Lee Disciplined Services Quarters",,4076
125,Islands,"Mun Wo House, Mun Tung Estate",,4077
126,Islands,"Mun Wo House, Mun Tung Estate",,4078
127,Tsuen Wan,L'hotel Nina et Convention Centre,,4079
128,Kowloon City,In House,,4080
129,Wong Tai Sin,"Wang Mei House, Tin Wang Court",,4081
130,Tuen Mun,"Siu Keung House, Siu Kwai Court",,4082
131,Central & Western,Kin On Commercial Building,,4083
132,Wong Tai Sin,"Lung Lok House, Lower Wong Tai Sin (II) Estate",,4084
133,Kwun Tong,"Kai Shing House, Kai Yip Estate",,4085
134,Kowloon City,"Chung Man House, Oi Man Estate",,4086
135,Eastern,"Block 2, Cheerful Garden",,4087
136,Eastern,"Block 1, Fullview Garden",,4088
137,Wong Tai Sin,"Pak Yuen House, Chuk Yuen North Estate",,4089
138,Islands,"Him Yat House, Yat Tung (II) Estate",,4090
139,Wong Tai Sin,"Kam Hon House, Choi Hung Estate",,4091
140,Yau Tsim Mong,Lauren Court,,4092
141,Wong Tai Sin,"Lung Tai House, Lower Wong Tai Sin (II) Estate",,4093
142,Wong Tai Sin,"Lung Tai House, Lower Wong Tai Sin (II) Estate",,4094
143,Wong Tai Sin,"Lung Tai House, Lower Wong Tai Sin (II) Estate",,4095
144,Kowloon City,"Tak Cheung House, Tak Long Estate",,4097
145,Yuen Long,"Luen Fat House, Kin Yip Street",,4098
146,Yau Tsim Mong,Tai Kok Tsui Building,,4100
147,Sham Shui Po,"Begonia House, So Uk Estate",,4101
148,Sha Tin,"Block 3, Wai Wah Centre",,4102
149,Tsuen Wan,The Blue Yard,,4103
150,Tai Po,"Hang Wo House, Tai Wo Estate",,4104
151,Yuen Long,Tung Chan Wai,,4105
152,North,"Lai Ming House, Wah Ming Estate",,4106
153,Sham Shui Po,135 Fuk Wa Street,,4107
154,Kowloon City,"Block 1, Willow Mansions, Phase 3, Whampoa Garden",,4108
