,Unnamed: 0,Building name,Related probable/confirmed cases,count,lat_col,long_col
944,944,The Blue Yard,"3976, 4022, 4023, 4103",4,22.369858100000002,114.11522943184592
945,945,The Centrium ,4191,1,22.28060265,114.15466698322558
946,946,The Church of Christ in China Mongkok Church Christian Centre ,3921,1,,
947,947,The Fanling Assemblies of God Kindergarten ,3722,1,,
948,948,The LOHAS  ,3925,1,47.66300475,-122.32038419767592
949,949,The Lamma Tower Floom Floom ,"3976, 4022, 4023",3,,
950,950,The Landmark ,"2824, 3539",2,24.48483375,54.350648028500444
951,951,The Lane ,"3327, 3328",2,38.4651663,-100.4776682
952,952,The Luxe Manor,4407,1,22.301001399999997,114.1740066552255
953,953,The Luxe Manor ,4407,1,22.301001399999997,114.1740066552255
954,954,The Ma Kam Chan Memorial Building of The Chinese University of Hong Kong - TWGHs Community College ,4393,1,,
955,955,The Marco Polo Hongkong Hotel Cucina ,4004,1,,
956,956,The Met. Acappella,"4505, 4538, 4559, 4560",4,22.37187335,114.1728318974965
957,957,The Salvation Army Jat Min Nursery School ,4382,1,,
958,958,The Star ,4266,1,-14.6912246,-75.14458291393622
959,959,The Westwood ,3941,1,34.0668947,-118.4399448
960,960,The Whampoa ,"1848, 2002, 2244, 2539, 2579, 2739, 3193, 3194",8,22.30506315,114.18947954774603
961,961,Thomson Centre Cheung Hing Kee Shanghai Pan-fried Buns ,"2650, 2867, 2899",3,22.2770494,114.1736799
962,962,Tien Chu (Tsing Yi) Industrial Centre ,3978,1,22.33071275,114.10450681668421
963,963,"Tim Man House, Ho Man Tin Estate",3668,1,22.315528,114.18220059207219
964,964,Times Square ,"4175, 4119",2,40.757280550000004,-73.98585503545917
965,965,Tin Chak Shopping Centre ,"4496, 4456",2,22.468414350000003,113.99878185816786
966,966,Tin Chak Shopping Centre Caf 100% ,4456,1,,
967,967,"Tin Cheung House, Tin Ping Estate","3975, 4064",2,22.5035506,114.1338886
968,968,"Tin Lok House, Tin King Estate",4242,1,22.4064521,113.96577268839337
969,969,Tin Shing Market ,4059,1,22.4595311,114.0028268
970,970,Tin Shui Shopping Centre ,3766,1,22.45589535,113.99837074055345
971,971,Tin Yan Shopping Centre ,"3587, 3772",2,22.4625523,113.99648260357361
972,972,"Tin Yee House, Tin Ping Estate","3785, 3984",2,22.5035506,114.1338886
973,973,"Tin Yiu House, Shun Tin Estate",4398,1,22.325859649999998,114.22652357426563
974,974,Tin Yiu Plaza ,"3887, 3904, 4207, 4365",4,22.4515367,114.00258547972926
975,975,"Tin Yue House, Tin King Estate","4286, 4339, 4412, 4430, 4431, 4514, 4534, 4535",8,22.4064521,113.96577268839337
